@relation testingDataUnlabeled

@attribute collar_wifi numeric
@attribute collar_bluetooth numeric
@attribute hub_wifi numeric
@attribute hub_bluetooth numeric
@attribute restricted {Yes,No}

@data
-57,-3,-57,-20,Yes
-57,-9,-58,-21,No
-57,-4,-58,-21,No
-57,-12,-58,-18,No
-57,-1,-58,-19,No
-57,-1,-58,-19,No
-57,-2,-58,-19,No
-57,-6,-58,-26,No
-57,-2,-58,-26,No
-57,-5,-58,-24,No
-57,-7,-58,-24,No
-57,-6,-57,-25,Yes
-57,-18,-57,-26,Yes
-57,-8,-56,-23,Yes
-57,-16,-57,-26,Yes
-57,-12,-57,-26,Yes
-57,-8,-57,-24,Yes
-55,-2,-57,-24,Yes
-55,0,-57,-18,Yes
-55,-2,-57,-17,Yes
-55,-3,-57,-17,Yes
-55,-4,-56,-23,Yes
-55,-3,-56,-23,Yes
-55,-11,-57,-19,Yes
-55,-4,-57,-21,Yes
-55,-3,-57,-20,Yes
-55,-6,-57,-20,Yes
-55,-5,-57,-23,Yes
-55,-15,-57,-23,Yes
-55,-7,-57,-23,Yes
-55,-2,-57,-28,Yes
-55,-8,-57,-28,Yes
-55,-4,-57,-28,Yes
-55,-23,-57,-24,Yes
-55,-9,-57,-26,Yes
-55,-11,-57,-20,Yes
-55,-2,-57,-20,Yes
-55,-5,-57,-18,Yes
-55,-7,-57,-12,Yes
-55,-1,-57,-16,Yes
-55,-7,-57,-16,Yes
-55,0,-57,-16,Yes
-55,-4,-57,-17,Yes
-55,-13,-57,-19,Yes
-55,-2,-57,-18,Yes
-55,-7,-57,-22,Yes
-55,-2,-57,-22,Yes
-55,-4,-57,-19,Yes
-55,-4,-57,-20,Yes
-55,-6,-57,-18,Yes
-55,-12,-57,-15,Yes
-55,0,-56,-21,Yes
-55,-9,-56,-21,Yes
-55,-1,-56,-21,Yes
-55,-8,-57,-20,Yes
-55,-10,-57,-19,Yes
-55,-2,-57,-19,Yes
-55,-4,-57,-18,Yes
-55,-4,-57,-19,Yes
-55,-4,-57,-25,Yes
-55,-4,-57,-25,Yes
-55,0,-57,-14,Yes
-55,0,-56,-15,Yes
-55,0,-57,-16,Yes
-53,-2,-57,-18,Yes
-53,0,-57,-17,Yes
-53,-2,-57,-18,Yes
-53,-3,-57,-16,Yes
-53,0,-57,-17,Yes
-53,0,-56,-14,Yes
-53,0,-57,-18,Yes
-53,0,-56,-17,Yes
-53,0,-56,-18,Yes
-53,0,-56,-17,Yes
-53,0,-56,-14,Yes
-53,0,-55,-13,Yes
-53,0,-56,-13,Yes
-52,0,-56,-14,Yes
-52,-8,-56,-14,Yes
-52,0,-56,-15,Yes
-52,-5,-57,-15,Yes
-52,0,-58,-16,Yes
-52,0,-58,-16,Yes
-52,0,-58,-15,Yes
-51,-7,-57,-16,Yes
-51,0,-57,-16,Yes
-51,0,-57,-16,Yes
-51,0,-57,-15,Yes
-51,-6,-55,-16,Yes
-51,0,-55,-18,Yes
-51,-3,-55,-18,Yes
-51,0,-55,-18,Yes
-51,-2,-55,-18,Yes
-51,-1,-55,-17,Yes
-52,0,-55,-17,Yes
-52,-10,-55,-16,Yes
-52,0,-56,-17,Yes
-52,-3,-56,-17,Yes
-52,0,-56,-17,Yes
-52,-1,-57,-18,Yes
-52,-4,-57,-18,Yes
-52,-3,-57,-21,Yes
